company_id,scope
56d6a748-5d98-430e-a5a1-cd1bccf6dbc9,Robotics
56d6a748-5d98-430e-a5a1-cd1bccf6dbc9,Big Data and Analytics
56d6a748-5d98-430e-a5a1-cd1bccf6dbc9,AI
1b3a2b70-adb3-42d2-8d3c-79c6f1d2b4d6,Social
1b3a2b70-adb3-42d2-8d3c-79c6f1d2b4d6,Cloud
1b3a2b70-adb3-42d2-8d3c-79c6f1d2b4d6,Security
65a0b7ca-6584-4424-9589-6ef6394179a7,Big Data and Analytics
65a0b7ca-6584-4424-9589-6ef6394179a7,IoT
65a0b7ca-6584-4424-9589-6ef6394179a7,Cloud
65a0b7ca-6584-4424-9589-6ef6394179a7,AI
65a0b7ca-6584-4424-9589-6ef6394179a7,Mobility
65a0b7ca-6584-4424-9589-6ef6394179a7,Security
65a0b7ca-6584-4424-9589-6ef6394179a7,Social
dea5ec00-5f99-49ae-9713-927af604ea2f,Cloud
dea5ec00-5f99-49ae-9713-927af604ea2f,Big Data and Analytics
dea5ec00-5f99-49ae-9713-927af604ea2f,AI
dea5ec00-5f99-49ae-9713-927af604ea2f,Security
ab4763b9-0d5b-4b67-8693-186e4b7a9008,Mobility
ab4763b9-0d5b-4b67-8693-186e4b7a9008,Social
77ad6b8f-046b-47c2-8cfc-a93444a80685,Security
396f4f05-27f6-46a4-a084-29fb1e811385,Social
396f4f05-27f6-46a4-a084-29fb1e811385,Security
396f4f05-27f6-46a4-a084-29fb1e811385,Big Data and Analytics
a1d8cb33-b200-4792-9a29-0430e2d59a04,Big Data and Analytics
a1d8cb33-b200-4792-9a29-0430e2d59a04,Social
a1d8cb33-b200-4792-9a29-0430e2d59a04,Mobility
706d84ce-0441-43ab-b150-8d2a4ae0cda6,AI
706d84ce-0441-43ab-b150-8d2a4ae0cda6,Mobility
706d84ce-0441-43ab-b150-8d2a4ae0cda6,Security
706d84ce-0441-43ab-b150-8d2a4ae0cda6,IoT
706d84ce-0441-43ab-b150-8d2a4ae0cda6,Social
